risk,cause,location_name,year,deaths_count_all_age,deaths_count_lower,deaths_count_upper,deaths_asr,deaths_asr_lower,deaths_asr_upper,dalys_asdr,dalys_asdr_lower,dalys_asdr_upper,deaths_count_from_age_sex_sum,deaths_count_difference_vs_baseline,dalys_count_from_age_sex_sum,dalys_count_ui_note,population_total_from_age_sex
ozone,copd,East Asia,2004,145824.15666520654,34858.2181602561,259252.457728668,15.088945350530137,3.6666982405155792,26.674269664276583,236.29992014681093,56.10610869080722,420.18942731711934,145824.1566652066,5.820766091346741e-11,2602515.005042971,point_estimate_sum_from_age_sex_only,1331564630.9974709
ozone,copd,East Asia,2005,148104.00745158122,36414.813466093416,267124.56566876086,14.707510382757592,3.6406287278693825,26.886017993696885,229.55097622739513,55.889836996855315,414.5616863323682,148104.00745158127,5.820766091346741e-11,2619808.7069794256,point_estimate_sum_from_age_sex_only,1340200042.748602
ozone,copd,East Asia,2006,155035.65895224392,37583.857804998224,278403.8690687638,14.73796485335423,3.5713064081139105,26.812512120321063,229.50913027399386,55.64739497478794,411.78761734819705,155035.65895224392,0.0,2721708.4245490613,point_estimate_sum_from_age_sex_only,1349502685.0102966
ozone,copd,East Asia,2007,157593.19465343878,38032.09142924069,276148.99177763803,14.383270128450222,3.5108898014113588,25.519238829882404,222.534681653163,53.2315861565262,387.70418127963484,157593.19465343878,0.0,2734920.801926243,point_estimate_sum_from_age_sex_only,1359303771.54587
ozone,copd,East Asia,2008,164214.20653939055,38674.1914659372,280477.92491412663,14.428684936548448,3.4048909236370637,24.967742724758185,221.20067501291345,51.769687794238955,378.5860482374123,164214.20653939052,-2.9103830456733704e-11,2808161.473846427,point_estimate_sum_from_age_sex_only,1369247923.1561518
ozone,copd,East Asia,2009,152643.84491274116,37352.15527511695,264935.95152941486,12.865417126718645,3.2048544374893186,22.46959907805058,195.7042620295417,47.52126193144967,338.64735978339775,152643.84491274122,5.820766091346741e-11,2575659.2365276455,point_estimate_sum_from_age_sex_only,1378935682.0429876
ozone,copd,East Asia,2010,146593.4528269325,35580.626787250694,255193.15728276133,11.8372922473818,2.9367957550349524,20.510133011598562,178.8140100450198,43.125469807144405,311.22977414462406,146593.45282693242,-8.731149137020111e-11,2440518.023904154,point_estimate_sum_from_age_sex_only,1387680795.0717652
ozone,copd,East Asia,2011,133183.21713755795,31345.452462440764,234507.64359721966,10.28192489793986,2.4596858895417446,18.10355162152859,154.84398671323146,36.35256687378102,271.49499725905287,133183.21713755795,0.0,2200219.1314547528,point_estimate_sum_from_age_sex_only,1395438499.2152677
ozone,copd,East Asia,2012,117477.42669113682,27553.824532028746,203725.11130243304,8.686477600934612,2.0382383484382944,15.079070496827374,129.98580950286959,30.28201738256744,225.05194970920016,117477.42669113683,1.4551915228366852e-11,1920911.0223771972,point_estimate_sum_from_age_sex_only,1403529418.8838446
ozone,copd,East Asia,2013,102589.35089627506,23899.565720654802,175072.47023893203,7.27354977791073,1.6918204725306814,12.511136955850294,107.80475690753042,25.058435218645144,183.40650871683795,102589.35089627503,-2.9103830456733704e-11,1654464.5599468502,point_estimate_sum_from_age_sex_only,1412318537.7411299
